issue,category,category_description,comment_count,comment_likes_count,comment_replies_count,comment_shares_count,likes_per_comment
Childcare and family,Child Safety and Public Interactions.Animal Interactions and Pet Safety,"Encompasses debates about responsible pet ownership, incidents involving stray or uncontrolled animals (including dog fouling), and the impact of animal-related issues on children’s safety.",309,805,152,0,2.605177994
Childcare and family,Child Safety and Public Interactions.Peer Misconduct and Bullying,"Covers issues of bullying, disruptive behavior among children, and conflicts between peers in public spaces and school environments.",151,399,76,0,2.642384106
Childcare and family,Child Safety and Public Interactions.Stranger Encounters and Suspicious Behavior,Focuses on concerns over inappropriate or suspicious interactions with strangers in public spaces—such as unwanted photography or approaching children—and the related safety issues.,344,927,171,0,2.694767442
Childcare and family,Childcare and Early Education.Infant Feeding and Breastfeeding Support,"Focuses on parents’ experiences with breastfeeding in public, formula feeding, and the need for supportive networks and practical advice during infancy.",20,23,7,0,1.15
Childcare and family,Childcare and Early Education.Nursery and Childcare Services,"Discusses recommendations, quality, funding, availability, and waitlist challenges for nurseries, childminders, and other early years care providers.",268,288,113,0,1.074626866
Childcare and family,"Childcare and Early Education.School Entry, Deferral, and Catchment","Covers debates on the timing of school start, deferral decisions for summer‐born children, catchment area challenges, and admission issues that influence family planning.",78,116,40,0,1.487179487
Childcare and family,Community Support and Family Welfare.Government and Social Support Initiatives,"Encompasses discussions about petitions, food banks, housing assistance, and state or council interventions designed to aid families in financial or social distress.",231,327,107,0,1.415584416
Childcare and family,Community Support and Family Welfare.Local Community and Volunteer Initiatives,"Highlights grassroots efforts, charity events, free gift exchanges, and local parent groups that organize support for families and improve community wellbeing.",857,1183,343,0,1.380396733
Childcare and family,Family Dynamics and Relationship Narratives.Domestic and Relational Challenges,"Includes conversations about domestic abuse, divorce, family restructuring, and other relational hardships that impact children's upbringing.",10,12,1,0,1.2
Childcare and family,"Family Dynamics and Relationship Narratives.Family Memories, Traditions, and Nostalgia","Covers personal and intergenerational reflections on cherished family moments, cultural traditions, and community experiences that shape family identity.",198,270,74,0,1.363636364
Childcare and family,Parental Experiences and Challenges.Employment and Job Security for Parents,"Addresses challenges in balancing work and childcare responsibilities, petitions for employer support, and conflicts that arise when family care impacts employment.",180,221,90,0,1.227777778
Childcare and family,Parental Experiences and Challenges.Parenting Struggles and Social Judgements,"Encompasses everyday difficulties, parental criticisms, and societal judgments regarding different parenting styles and family management.",918,2577,466,0,2.807189542
Childcare and family,"Public Transport, Parking, and Road Safety.Pedestrian, Traffic, and Road Safety","Covers hazardous road conditions, blocked pavements, unsafe crossings, and general traffic issues that directly threaten the safety of children and families.",641,1341,400,0,2.092043682
Childcare and family,"Public Transport, Parking, and Road Safety.Public Transport and Parking Accessibility","Discusses difficulties with public transport, taxi challenges, and parking problems (e.g., blocked driveways, misuse of parent spaces) that affect everyday family logistics.",176,412,105,0,2.340909091
Childcare and family,Uncategorised.Not enough information,,6,3,1,0,0.5
Cost of living,Employment & Income.Income versus Rising Living Costs,"Comments contrasting stagnant or low wage growth with escalating everyday expenses, highlighting income disparity and personal financial struggles.",354,858,131,0,2.423728814
Cost of living,Employment & Income.Low Wages and Job Insecurity,"Discussions about insufficient wages, insecure or zero-hour contracts, and the difficulty of earning a fair income in today’s economic climate.",242,408,81,0,1.685950413
Cost of living,"Food & Consumer Costs.Grocery Prices, Inflation and Shrinkflation","Comments highlighting rapidly rising food prices, reduced product sizes, and the effects of inflation on everyday grocery items.",939,1747,450,0,1.860489883
Cost of living,Food & Consumer Costs.Retail Overcharging and Price Discrepancies,"Discussions regarding inconsistencies between advertised prices and checkout charges, misleading promotions, and other retail pricing issues.",549,723,187,0,1.316939891
Cost of living,Healthcare & Veterinary Costs.Human Healthcare Service Costs and Access,"Discussions regarding rising costs in human healthcare services such as dental care, GP delays, and the broader impact on accessing essential medical care.",88,96,30,0,1.090909091
Cost of living,Healthcare & Veterinary Costs.Veterinary and Pet Care Expenses,"Talk about high veterinary fees, pet insurance premiums, and the financial burdens associated with caring for pets amid rising costs.",101,177,66,0,1.752475248
Cost of living,Housing & Property Costs.Housing Policy and Local Market Issues,"Discussions critiquing government and landlord policies, planning decisions, and tenant protection practices that impact the local housing market.",114,358,89,0,3.140350877
Cost of living,"Housing & Property Costs.Rent, Property and Affordability","Comments discussing high rental prices, soaring property costs, and rising council tax — highlighting the struggle to secure affordable housing.",371,902,242,0,2.431266846
Cost of living,Public Services & Local Governance.Local Service Charges and Infrastructure,"Comments on council service fees (e.g. waste collection, parking fines, road maintenance) and decisions that affect local public infrastructure and service quality.",275,496,141,0,1.803636364
Cost of living,"Public Services & Local Governance.Policy, Austerity and Fiscal Critique","Discussions critiquing government spending cuts, austerity measures, and overarching policies that deepen financial strain.",372,992,201,0,2.666666667
Cost of living,Retail & Services Experience.Digital Retail and Online Shopping Practices,"Discussions about the transition to digital shopping, self-service checkout issues, misleading online deals, and the impact of technology on retail pricing.",8,18,0,0,2.25
Cost of living,Retail & Services Experience.Service Quality and Consumer Experiences,"Comments on declining service quality, long queues, overcharging at checkouts, and negative consumer experiences in retail and service sectors.",93,124,24,0,1.333333333
Cost of living,"Social Support & Welfare.Charity, Community Aid and Grassroots Initiatives","Talks about food banks, free distribution events, and community-driven projects designed to help those struggling with rising costs.",602,744,236,0,1.235880399
Cost of living,"Social Support & Welfare.Welfare, Benefits and Public Assistance Challenges","Discussions on limitations of welfare systems, difficulties accessing state support, and the reality of living on benefits amid the cost of living crisis.",90,88,30,0,0.9777777778
Cost of living,Technology & Payment Systems.Cashless Payments and Digital Payment Frustrations,"Conversations focused on mandatory cashless systems, issues with parking and retail apps, hidden fees, and frustrations with digital payment methods.",121,219,71,0,1.809917355
Cost of living,"Technology & Payment Systems.Online Banking, Billing and Payment App Issues","Comments regarding online banking glitches, direct debit problems, and technology-induced errors that affect consumers' finances.",13,32,3,0,2.461538462
Cost of living,Transport & Parking.Fuel Prices and Regional Variances,"Talk regarding high petrol and diesel costs, regional price differences, and consumer strategies to save money at the pump.",480,588,264,0,1.225
Cost of living,"Transport & Parking.Public Transport, Taxi Fares and Parking Charges","Comments addressing expensive taxi fares, increased parking fees including cashless payment frustrations, and cost issues affecting public transport options.",1005,1881,492,0,1.871641791
Cost of living,Uncategorised.Not enough information,,36,27,7,0,0.75
Cost of living,Utilities & Energy.Energy Supplier Switching and Renewable Transitions,"Talk about experiences with energy providers, comparisons between suppliers, and the costs of moving toward cleaner or renewable energy solutions.",21,7,2,0,0.3333333333
Cost of living,Utilities & Energy.Utility Bills and Billing Disputes,"Conversations focused on escalating gas, electric, and water bills, smart meter reading errors, and unexpected billing charges.",469,380,178,0,0.8102345416
Crime,"Animal-Related Crime.Animal Abuse, Neglect, and Attacks","Comments dealing with harm, cruelty, or neglect toward animals, including violent encounters between pets or mistreatment of wildlife.",1436,2377,668,0,1.655292479
Crime,Anti-social Behavior and Youth Disorder.Drug-Fueled Public Disorder,"Remarks linking public disturbances and chaotic behavior to substance abuse or intoxication, often referencing drug-fueled incidents that lead to safety concerns.",424,692,205,0,1.632075472
Crime,Anti-social Behavior and Youth Disorder.Youth-Related Offenses,"Discussions focusing on disruptive or intimidating acts by young people, including bullying, vandalism, and general public disorder created by youth groups.",2125,4299,1071,0,2.023058824
Crime,Fraud and Scams.Financial and Digital Deception,"Comments addressing deceptive schemes that trick victims into losing money or assets, covering both traditional door-to-door scams and online or delivery-related fraud.",497,511,173,0,1.028169014
Crime,Moral Judgment and Condemnation.Derogatory Criticism and Outrage,"Expressions that employ strong, condemning language—using insults and pejorative labels—to denounce criminal acts and morally judge perpetrators.",843,1420,295,0,1.684460261
Crime,"Policing, Authority, and Community Vigilance.Community Reporting and Vigilance","Comments urging individuals to report incidents, share evidence such as CCTV footage, and actively engage in community watch to deter further crime.",2723,3395,1098,0,1.246786632
Crime,"Policing, Authority, and Community Vigilance.Critique of Law Enforcement Response","Narratives expressing frustration over delays, inadequacies, or perceived apathy in police and authority figures’ handling of criminal incidents.",1696,3059,918,0,1.80365566
Crime,Political and Administrative Failings.Critique of Public Policy and Spending,"Comments discussing misallocation of public funds, ineffective governance, or poor administrative decisions that impact crime prevention and community safety.",126,336,74,0,2.666666667
Crime,Political and Administrative Failings.Political and Social Commentary on Crime,"Remarks linking criminal incidents to broader societal issues, inequality, or political failures, often suggesting that such neglect fuels further crime.",247,741,192,0,3
Crime,Property Crime.Burglary and Vehicle Break-ins,"Comments discussing unauthorized intrusions into homes or vehicles, focusing on theft and break‐ins that may occur without visible structural damage.",550,287,239,0,0.5218181818
Crime,Property Crime.Vandalism and Fly-Tipping,"Discussions about deliberate property damage including graffiti, defacement, and illegal dumping, often emphasizing disorder and neglect of public or private spaces.",1476,1776,563,0,1.203252033
Crime,Traffic Offenses and Road Misconduct.Illegal Parking and Obstruction,Remarks focusing on vehicles violating parking regulations—such as parked in disabled bays or obstructing driveways—and thereby causing inconvenience and safety hazards.,344,546,196,0,1.587209302
Crime,Traffic Offenses and Road Misconduct.Non-Violent Traffic Misconduct,"Comments addressing reckless or inconsiderate driving behaviors that damage property or pose hazards, excluding those already classified as violent acts.",163,266,70,0,1.63190184
Crime,Uncategorised.Not enough information,,95,72,50,0,0.7578947368
Crime,Victim Support and Community Solidarity.Calls for Justice and Accountability,"Appeals for proper investigations, legal retribution, and community or authority action to ensure that perpetrators are held accountable and victims receive justice.",103,180,33,0,1.747572816
Crime,Victim Support and Community Solidarity.Expressions of Empathy and Condolence,"Sympathetic remarks offering support, comfort, and condolences to victims of crime, expressing genuine care for their emotional and physical wellbeing.",681,724,273,0,1.063142438
Crime,Violent Crime.Physical Assault and Weapon-related Violence,"Remarks describing incidents where individuals are attacked, including stabbings, beatings, or weapon use that results in serious bodily harm.",866,1034,292,0,1.193995381
Crime,"Violent Crime.Road Rage, Hit-and-Run, and Reckless Driving",Talk focusing on aggressive driving behaviors – such as hit‐and‐run incidents or overt acts of road rage – that deliberately endanger lives or cause injury.,841,1024,343,0,1.217598098
Cultural issues,Community Dynamics and Public Space Usage.Governance and Social Behavior,"Remarks addressing interpersonal behavior in shared spaces, the role of local authorities, and citizens’ expectations of mutual respect and civility in public life.",15,69,13,0,4.6
Cultural issues,Community Dynamics and Public Space Usage.Public Celebrations and Safety,Dialogues about the organization and regulation of public festivities—such as fireworks shows and street events—and their impact on safety and community well‐being.,130,417,96,0,3.207692308
Cultural issues,Cultural Entertainment and Social Venues.Commercial Cultural Spaces,"Comments on pubs, restaurants, and other commercial establishments that are integral to community identity and social interactions.",18,21,4,0,1.166666667
Cultural issues,Cultural Entertainment and Social Venues.Live Entertainment and Festival Culture,"Observations and opinions on music venues, drag shows, clubs, festivals, and live events that serve as core components of local cultural life.",331,592,160,0,1.788519637
Cultural issues,"Discourse Tone, Humor, and Conflict in Cultural Debates.Humor and Incivility in Cultural Debate","Expressions that use satire, irony, or crude language—whether playful or hostile—to comment on cultural issues, reflecting both wit and conflict.",831,1753,455,0,2.109506619
Cultural issues,"Diversity, Inclusion, and Multiculturalism.Identity Politics and Representation","Remarks focused on politically correct language, identity markers, and how individuals or groups are portrayed within cultural debates.",274,507,118,0,1.850364964
Cultural issues,"Diversity, Inclusion, and Multiculturalism.Race, Religion, and LGBTQ+ Tolerance","Discussions addressing issues of race, ethnicity, interfaith differences, and sexual/gender minorities, highlighting support as well as prejudice in cultural contexts.",721,2168,466,0,3.006934813
Cultural issues,"National Identity, Symbols, and Media Representation.Cultural Politics of Symbolism","Debates over the meanings and politicization of public symbols and narratives, addressing issues of heritage, nationalism, and cultural representation.",114,469,86,0,4.114035088
Cultural issues,"National Identity, Symbols, and Media Representation.National Symbols and Media Narratives","Discussions about the use of flags, statues, and other emblems as representations of national identity, and critiques on how media portrays these symbols.",59,98,9,0,1.661016949
Cultural issues,Nostalgia and Cultural Memory.Architectural and Urban Memory,"Comments reflecting on the historical look and design of cities, landmarks, and neighborhoods, expressing both admiration and lament for the bygone aesthetic and urban feel.",657,1358,288,0,2.066971081
Cultural issues,Nostalgia and Cultural Memory.Personal and Event Memories,"Anecdotes and reminiscences about traditional festivals, community gatherings, and individual personal experiences that tie people to their cultural past.",805,1417,337,0,1.760248447
Cultural issues,Political Debate and Civic Engagement.Civic Action and Public Policy,"Remarks that consider community organizing, public consultations, and local decision‐making processes affecting cultural and urban life.",16,73,12,0,4.5625
Cultural issues,Political Debate and Civic Engagement.Local and National Political Critique,"Commentary on political parties, government policies, and electoral issues that intersect with cultural identity and community values.",152,477,100,0,3.138157895
Cultural issues,"Public Art, Aesthetics, and Cultural Expression.Public Art and Urban Aesthetics","Evaluations and debates about murals, sculptures, graffiti, and other artistic installations, including judgments on the visual quality and cultural significance of public art.",210,332,58,0,1.580952381
Cultural issues,Uncategorised.Not enough information,,6,2,1,0,0.3333333333
Cultural issues,"Urban Development, Preservation, and Community Change.Local Identity Transformation","Comments that examine how redevelopment, new constructions, and modern planning are reshaping community identity and cultural tradition.",70,253,49,0,3.614285714
Cultural issues,"Urban Development, Preservation, and Community Change.Preservation vs. Modernization",Dialogues debating modern urban development against the need to conserve historic architecture and traditional cultural landscapes.,251,549,119,0,2.187250996
Democracy,Advocacy for Systemic Reform and Anti-Establishment Sentiments.Anti-Establishment and Populist Rhetoric,"Expressions of hostility toward entrenched elites and institutions, with populist language that criticizes the status quo and demands radical change.",85,320,54,0,3.764705882
Democracy,Advocacy for Systemic Reform and Anti-Establishment Sentiments.Calls for Political and Institutional Change,Urgent appeals to overhaul existing political systems and institutions to better reflect the public’s interests.,183,582,127,0,3.180327869
Democracy,Critique of Political Leadership and Party Politics.Leadership Accountability Critique,"Remarks that target politicians and leaders for perceived corruption, self‐interest, or neglect of their constituents’ needs.",1815,5235,1172,0,2.884297521
Democracy,Critique of Political Leadership and Party Politics.Party System Disillusionment,"Expressions of frustration with the established party system, repetitive promises, and the partisan elite, with calls for alternatives.",572,1399,339,0,2.445804196
Democracy,Democratic Ideals versus Reality.Gap Between Ideals and Institutional Practice,Reflections that contrast the high-minded promises of democracy with the observable shortcomings and corruption within political institutions.,70,141,32,0,2.014285714
Democracy,Democratic Ideals versus Reality.Public Participation as a Democratic Right,"Emphasis on the moral and civic importance of an informed, engaged citizenry who have the inherent right to participate and shape public policy.",118,212,78,0,1.796610169
Democracy,Electoral Processes and Transparency.Democratic Accountability and Transparency,"Calls for open decision-making, clear disclosure, and the public holding electoral institutions and candidates accountable.",64,128,40,0,2
Democracy,Electoral Processes and Transparency.Voting Mechanics and Procedure Concerns,"Comments discussing technical problems and procedural issues in elections—such as polling card delivery, postal voting, and registration rules—that may affect participation.",176,145,69,0,0.8238636364
Democracy,"Local Governance, Services, and Representation.Local Representation and Electoral Boundaries","Discussions about fair representation at the local level, including debates over electoral boundaries and whether elected officials truly represent their communities.",385,588,226,0,1.527272727
Democracy,"Local Governance, Services, and Representation.Service Delivery and Infrastructure Critique","Criticisms of local councils and authorities for inadequacies in public services, infrastructure maintenance, fiscal mismanagement, and poor community outcomes.",1112,2159,751,0,1.941546763
Democracy,Political Campaign Messaging and Media Critique.Critique of Campaign Tactics and Messaging,"Observations about the use of manipulated political communication, misleading leaflets, and community canvassing strategies designed to win votes.",92,259,58,0,2.815217391
Democracy,Political Campaign Messaging and Media Critique.Media Bias and Censorship Concerns,"Criticism of biased news coverage, social media censorship, and the suppression of dissenting voices in the public political discourse.",48,90,36,0,1.875
Democracy,Uncategorised.Not enough information,,64,75,31,0,1.171875
Democracy,Voter Engagement and Participation.Call-to-Vote Encouragement,Comments urging citizens to exercise their franchise and emphasizing that voting is vital for a responsive democracy.,482,868,224,0,1.800829876
Democracy,Voter Engagement and Participation.Voter Apathy and Cynicism,Expressions of disillusionment or skepticism about the power of individual votes and the effectiveness of the electoral system.,448,823,229,0,1.837053571
Economy,"Banking, Digital Payments, and Cash Access.Digital Payments and the Shift to Cashless Society","Discusses the transition to electronic payment methods, the challenges of digital systems, and the implications of hidden transaction fees.",199,675,161,0,3.391959799
Economy,"Banking, Digital Payments, and Cash Access.Physical Banking and Branch Closures","Examines concerns over the closure of physical bank branches and reduced access to traditional banking, especially for vulnerable populations.",285,525,184,0,1.842105263
Economy,Cost of Living.Everyday Expenses and Inflation,"Covers increasing costs of food, clothing, and general consumer goods, emphasizing the impact of inflation on daily life.",416,922,210,0,2.216346154
Economy,Cost of Living.Fuel and Utility Costs,"Discusses rising energy, gas, and fuel prices and how these increases strain household budgets.",196,213,131,0,1.086734694
Economy,Cost of Living.Parking Fees,"Focuses on debates over increasing parking charges and fines that affect shoppers, commuters, and local businesses.",244,683,139,0,2.799180328
Economy,Employment and Wages.Job Opportunities and Wage Trends,"Discusses new employment prospects, changing wage levels, and labor market shifts and their effects on communities.",687,1068,258,0,1.554585153
Economy,Employment and Wages.Labour Practices and Contract Issues,"Focuses on issues such as zero‐hour contracts, job insecurity, and disputes over fair compensation and working conditions.",93,135,35,0,1.451612903
Economy,"Financial Scams and Exploitation.Fraud, Scams, and Unethical Practices","Includes commentary on financial scams, fraudulent offers, and unethical business practices exploiting consumers and small enterprises.",108,144,50,0,1.333333333
Economy,Financial Scams and Exploitation.Hidden Fees and Overpricing,"Focuses on debates over deceptive pricing strategies, unexpected charges, and the burden of hidden fees on everyday transactions.",13,11,3,0,0.8461538462
Economy,"Infrastructure and Urban Development.Transportation, Aviation, and Public Transit","Encompasses discussions on airport reopenings, transportation projects, roadworks, and public transit improvements that drive regional economies.",630,994,153,0,1.577777778
Economy,"Infrastructure and Urban Development.Urban Renewal, Housing, and Commercial Property","Covers topics on housing developments, rising commercial rents, urban planning decisions, and the redevelopment of public spaces impacting economic vitality.",193,615,139,0,3.186528497
Economy,Local Retail and Consumer Experience.Decline and Revitalisation of High Streets,"Addresses the closure of traditional shops, deterioration of high streets, and community efforts to rejuvenate local retail environments.",2059,5225,1098,0,2.537639631
Economy,Local Retail and Consumer Experience.Shift to Online and Changing Shopping Trends,Highlights the transition from brick-and-mortar stores to online shopping and its effects on local economies and consumer habits.,121,275,52,0,2.272727273
Economy,Public Policy and Corporate Practices.Corporate Greed and Political Neglect,"Encapsulates discussions on excessive corporate profits, landlord and investor greed, and perceived political mismanagement that undermines community welfare.",594,1694,300,0,2.851851852
Economy,"Public Policy and Corporate Practices.Fiscal Policy, Public Spending, and Debt","Covers critiques of tax policies, government expenditure, reduced public funding, and mounting council debts affecting services.",702,1585,340,0,2.257834758
Economy,Uncategorised.Not enough information,,102,142,33,0,1.392156863
Education,"Career, Apprenticeships & Professional Opportunities in Education.Apprenticeships, Job Opportunities & Training","Conversations on securing vocational training, apprenticeships, early career job opportunities, and the challenges faced in applying for such positions.",166,139,77,0,0.8373493976
Education,"Career, Apprenticeships & Professional Opportunities in Education.Online Courses & Digital Qualifications","Topics covering free, government-funded online learning initiatives, digital professional development courses, and accredited remote qualifications.",49,34,27,0,0.693877551
Education,Community & Local Impact on Education.Community Projects & Engagement,"Discussions on community-led initiatives, local fundraising, neighborhood projects, and public efforts to enhance educational and recreational environments.",166,290,76,0,1.746987952
Education,"Community & Local Impact on Education.Local Infrastructure, Housing & Services","Dialogue on how local developments, housing projects, and council decisions (e.g., parking, transport, healthcare) affect school placements and community services.",245,575,143,0,2.346938776
Education,"Educational Policy, Governance & Administration.Political Critique & Funding","Discussions critiquing government policies, political party actions, funding allocations, and administrative decisions (e.g., teacher strikes) that impact the education system.",307,856,217,0,2.788273616
Education,"Educational Policy, Governance & Administration.Uniform, Discipline & Curriculum","Talks focusing on strict uniform rules, stringent disciplinary practices (including bathroom and behavior policies), and gaps or outdated elements in the curriculum.",243,499,127,0,2.053497942
Education,Extracurricular Activities & Student Development.After-School Programs & Child Development,"Discussions about sports, arts, clubs, and other extracurricular classes or community-based initiatives that enhance learning and personal development.",54,48,25,0,0.8888888889
Education,Extracurricular Activities & Student Development.Teacher Appreciation & Gifts,"Talks centered on gestures of gratitude toward educators, including discussions on appropriate gift ideas, teacher strikes, and end-of-year recognitions.",26,50,5,0,1.923076923
Education,"Parental Involvement, Home & Community Engagement.Home Education & Alternative Learning","Dialogues regarding homeschooling experiences, use of alternative curricula and digital resources, and non-traditional systems outside mainstream education.",55,83,15,0,1.509090909
Education,"Parental Involvement, Home & Community Engagement.Parental Engagement in School Issues","Covers how parents advocate with schools and local authorities, file complaints, provide feedback, and participate in decision-making on education matters.",421,629,210,0,1.494061758
Education,"Safety, Infrastructure & Transport.School Infrastructure & Physical Safety","Comments about the physical condition and maintenance of schools, vandalism, building safety, and environmental hazards impacting student well‐being.",188,341,88,0,1.813829787
Education,"Safety, Infrastructure & Transport.Traffic, Parking & School Run","Discussions on unsafe traffic conditions, problematic parking, and issues occurring at school drop-off and pick-up times that affect safety.",424,816,250,0,1.924528302
Education,School Experience & Nostalgia.Nostalgia & Memory,"Reflective and sentimental commentary on past schooling, historical buildings, and cherished personal and community educational experiences.",304,441,158,0,1.450657895
Education,School Experience & Nostalgia.Reviews & Critiques,"Narratives evaluating school performance, teacher effectiveness, bullying incidents, academic environments, and overall satisfaction with educational institutions.",272,434,133,0,1.595588235
Education,Special Educational Needs (SEN) & Support.SEN & EHCP Focus,"Dialogues addressing the challenges and support structures for children with additional needs, detailing experiences with EHCP processes and accommodations in mainstream or specialized settings.",294,313,130,0,1.06462585
Education,Uncategorised.Not enough information,,44,95,35,0,2.159090909
Environmental,Climate Change Debate and Economic Policy Criticism.Climate Skepticism and Denial,Remarks that question or downplay the impacts of climate change and criticize mainstream environmental narratives.,140,333,95,0,2.378571429
Environmental,Climate Change Debate and Economic Policy Criticism.Economic and Policy Implications,"Critiques of environmental policies for imposing economic burdens, poor fiscal management, or serving political agendas at the expense of communities.",49,95,20,0,1.93877551
Environmental,Community Engagement and Environmental Activism.Public Protests and Petitioning,"Calls for civic activism, protests, and petitions intended to influence environmental policies and safeguard local areas.",239,477,101,0,1.9958159
Environmental,Community Engagement and Environmental Activism.Volunteer Initiatives and Grassroots Actions,"Celebrations of community cleanups, tree-plantings, and local projects aimed at environmental improvement.",1466,1819,408,0,1.240791269
Environmental,"Flooding, Drainage, and Water Quality.Flooding and Drainage Failures","Issues discussing recurring flood incidents, blocked drains, and ineffective infrastructure in managing stormwater.",1646,1838,630,0,1.116646416
